MassiveID,filename,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex
,,,keys,999419|Parabacteroides johnsonii,2026,"swabs, dry",methanol-water (7:3),,6330 Ion Trap LC/MS|MS:1000475,,,,,,gall bladder,,,primary bacterial infectious disease,,,Bulgaria,,,,,,,UBERON:0002107,no DOID avaliable
,,,marine_coral,999414|Fusobacterium nucleatum subsp. animalis F0419,2027,"swabs, moist (50% EtOH)",methanol-water (9:1),,6340 Ion Trap LC/MS|MS:1000476,,,,,,gill filament,,,psoriasis,,,Burkina Faso,,,,,,,UBERON:0004907,no DOID avaliable
,,,marine_cyanobacteria_insitu,999414|Fusobacterium nucleatum,2028,"swabs, solution (100% EtOH)",methyltertbutylether-methanol-water (2:1:1),,6410 Triple Quadrupole LC/MS|MS:1000477,,,,,,head or neck skin,,,sleep deprivation,,,Burundi,,,,,,,UBERON:0002048,no DOID avaliable
,,,marine_diatom,9993|Marmota marmota,2029,"swabs, solution (95% EtOH)",ML import: not available,,6420 Triple Quadrupole LC/MS|MS:1002444,,,,,,heart,,,ulcerative colitis,,,Cabo Verde,,,,,,,UBERON:0001045,not applicable
,,,marine_invertebrates,999236|Peronia peronii,2030,"urine, 24-hour",not collected,,6430 Triple Quadrupole LC/MS|MS:1002799,,,,,,ileum,,,,,,Cambodia,,,,,,,UBERON:0001913,not applicable
,,,marine_invertebrates_insitu,9992|Marmota,ML import: not available,"urine, NOS",not specified,,6460 Triple Quadrupole LC/MS|MS:1002445,,,,,,jejunal epithelium,,,,,,Cameroon,,,,,,,UBERON:0001707,
,,,ML import: not available,99904|Laurencia viridis,,"urine, spot",water (100%) (deg_C_NOS),,6470A Triple Quadrupole LC/MS|MS:1000935,,,,,,jejunum,,,,,,Canada,,,,,,,not applicable,
,,,mobile phone,99903|Laurencia thyrsifera,,,water (94_deg_C),,6470B Triple Quadrupole LC/MS|MS:1000936,,,,,,kidney,,,,,,Central African Republic (CAR),,,,,,,not applicable,
,,,not applicable,99900|Laurencia,,,water (95_deg_C),,6490 Triple Quadrupole LC/MS|MS:1002446,,,,,,lamina,,,,,,Chad,,,,,,,UBERON:0000167,
,,,not specified,99883|Tetraodon nigroviridis,,,water-acetonitrile (149:1),,6495A Triple Quadrupole LC/MS|MS:1002800,,,,,,larval thorax,,,,,,Chile,,,,,,,UBERON:0000992,
,,,office,998674|Leucothrix mucor,,,water-acetonitrile (250:1),,6495B Triple Quadrupole LC/MS|MS:1002801,,,,,,liver,,,,,,China,,,,,,,UBERON:0001264,
,,,plant_angiospermae,9986|Oryctolagus cuniculus,,,water-acetonitrile (3:2),,6495C Triple Quadrupole LC/MS|MS:1000937,,,,,,lower digestive tract,,,,,,Colombia,,,,,,,UBERON:0002387,
,,,plant_NOS,998464|Cissampelos mucronata,,,,,6510 Quadrupole Time-of-Flight LC/MS|MS:1000676,,,,,,lung,,,,,,Comoros,,,,,,,UBERON:0002012,
,,,purse_or_wallet,998219|Melanelixia subglabra,,,,,6520A Quadrupole Time-of-Flight LC/MS|MS:1000677,,,,,,lymph,,,,,,"Congo, Democratic Republic of the",,,,,,,UBERON:0002016,
,,,reference material_animalfeedorsupplement,998207|Hypotrachyna leiophylla,,,,,6520B Q-TOF LC/MS|MS:1002785,,,,,,midgut,,,,,,"Congo, Republic of the",,,,,,,UBERON:0001836,
,,,reference material_chemicalstandard,99817|Athrotaxis cupressoides,,,,,6530A Q-TOF LC/MS|MS:1002786,,,,,,milk,,,,,,Costa Rica,,,,,,,UBERON:0002097,
,,,reference material_collectionmaterial_microtubes,99816|Athrotaxis selaginoides,,,,,6530B Q-TOF LC/MS|MS:1002787,,,,,,ML import: not available,,,,,,Cote dIvoire,,,,,,,UBERON:0001511,
,,,reference material_collectionmaterial_wellplates,99815|Taiwania flousiana,,,,,6538 Q-TOF LC/MS|MS:1002788,,,,,,multicellular organism,,,,,,Croatia,,,,,,,UBERON:0001519,
,,,reference material_personalcareproduct,99814|Sequoiadendron giganteum,,,,,6540 Q-TOF LC/MS|MS:1002789,,,,,,muscle of Aristotle's lantern,,,,,,Cuba,,,,,,,UBERON:0001513,
,,,research lab,99813|Sequoiadendron,,,,,6542 Q-TOF LC/MS|MS:1002790,,,,,,nasal cavity,,,,,,Cyprus,,,,,,,UBERON:0001085,
,,,salamander,99812|Taxodium mucronatum,,,,,6545 Q-TOF LC/MS|MS:1002791,,,,,,not applicable,,,,,,Czech Republic,,,,,,,UBERON:0002106,
,,,tissue,998119|Laurencia tenera,,,,,6550 iFunnel Q-TOF LC/MS|MS:1002783,,,,,,not specified,,,,,,Czechia,,,,,,,UBERON:0007311,
,,,water_ground,99810|Cryptomeria japonica sinensis,,,,,6550A iFunnel Q-TOF LC/MS|MS:1002784,,,,,,nuptial pad,,,,,,Denmark,,,,,,,UBERON:0000945,
,,,water_seawater,99809|Juniperus rigida,,,,,6560 Q-TOF LC/MS|MS:1002792,,,,,,ocular surface region,,,,,,Djibouti,,,,,,,UBERON:0002370,
,,,water_storm,99808|Chamaecyparis pisifera,,,,,6570 Q-TOF LC/MS|MS:1002793,,,,,,olfactory rosette,,,,,,Dominica,,,,,,,UBERON:0003126,
,,,water_surface,99806|Taxus cuspidata,,,,,7000A Triple Quadrupole GC/MS|MS:1002802,,,,,,oral cavity,,,,,,Dominican Republic,,,,,,,UBERON:0004908,
,,,water_surface_isolate,998011|Tephrosia calophylla,,,,,7000B Triple Quadrupole GC/MS|MS:1002803,,,,,,organism substance,,,,,,Ecuador,,,,,,,UBERON:0001088,
,,,water_waste,998008|Grewia orientalis,,,,,7800 Quadrupole ICP-MS|MS:1002804,,,,,,ovary,,,,,,Egypt,,,,,,,UBERON:0000002,
,,,,997938|Laurencia decumbens,,,,,8800 Triple Quadrupole ICP-MS|MS:1002805,,,,,,pancreas,,,,,,El Salvador,,,,,,,UBERON:0000995,
,,,,997931|Hypneocolax stellaris,,,,,Accela PDA|MS:1000623,,,,,,pes,,,,,,Equatorial Guinea,,,,,,,UBERON:0000996,
,,,,997891|Bacteroides vulgatus CL09T03C04,,,,,ACQUITY RDa Detector|MS:1003381,,,,,,placenta,,,,,,Eritrea,,,,,,,UBERON:0001359,
,,,,997891|Bacteroides vulgatus,,,,,Acquity SQD|MS:1001787,,,,,,post-embryonic organism,,,,,,Estonia,,,,,,,UBERON:0001089,
,,,,997888|Bacteroides finegoldii CL09T03C10,,,,,Acquity TQD|MS:1001788,,,,,,pulmonary artery,,,,,,Eswatini (formerly Swaziland),,,,,,,UBERON:0002391,
,,,,997888|Bacteroides finegoldii,,,,,Acquity UPLC FLR|MS:1000819,,,,,,pulmonary vein,,,,,,Ethiopia,,,,,,,ML import: not available,
