MWB,REDU
"HILIC|Waters ACQUITY UPLC BEH HILIC (100 x 2.1mm,1.7um)",normal phase (HILIC)
"HILIC|Shodex NH2P-40 2E (250?×?2 mm, 4 µm)",normal phase (HILIC)
"Reversed phase|Zorbax Extend C18 (50 x 2.1 mm, 1.8 µm)",reverse phase (C18)
"None|ACQUITY UPLC RP18, 2.1mm X 50mm (Waters)",reverse phase (C18)
GC|DB-5MS capillary column,gas chromatography (DB-5)
"Reversed phase|Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",reverse phase (C18)
"Reversed phase|C18 column (Waters UPLC BEH C18-2.1x100 mm, 1.7 µm)",reverse phase (C18)
"Reversed phase|C18 column (2.1Ã—100 mm, 1.7 Âµm, Waters, Milford, USA)",reverse phase (C18)
"Reversed phase|Hamilton® Intensity Solo 2 C18 column (100 mm x 2.1 mm, 1.8 m beads)",reverse phase (C18)
GC|Phenomenex Zebron ZB-AAA Amino Acid Analysis 10m x 0.25mm,gas chromatography (DB-5)
HILIC|Millipore ZIC-pHILIC,normal phase (HILIC)
Reversed phase|Custom C8 - Higgins Analytical,reverse phase (C8)
"HILIC|Waters Acquity BEH Amide (50 x 2.1mm, 1.7um)",normal phase (HILIC)
GC|Rxi-5ms,gas chromatography (DB-5)
Reversed phase|Hamilton Intensity Solo 2 C18,reverse phase (C18)
Reversed phase|Accucore Vanquish C18+ UHPLC Column,reverse phase (C18)
GC|Thermo Scientific Trace GOLD TG-5SIL-MS,gas chromatography (DB-5)
Reversed phase|DiscoveryÂ® HS C18 (15 cm x 2.1 mm x 3 Âµm),reverse phase (C18)
